Frame,Rotation
406,-29.7079
407,-30.5441
408,-31.3849
409,-32.2302
410,-33.0799
411,-33.934
412,-34.7925
413,-35.6553
414,-36.5224
415,-37.3937
416,-38.2691
417,-39.1486
418,-40.0321
419,-40.9195
420,-41.8108
421,-42.7057
422,-41.3723
423,-40.0402
424,-38.7092
425,-37.3795
426,-36.051
427,-34.7237
428,-33.3976
429,-32.0726
430,-30.7488
431,-29.4261
432,-28.1045
433,-26.7839
434,-25.4644
435,-24.1458
436,-22.8283
437,-21.5116
438,-20.1959
439,-18.881
440,-17.567
441,-16.2537
442,-14.9411
443,-14.3229
444,-13.7044
445,-13.0858
446,-12.4671
447,-11.8481
448,-11.229
449,-10.6097
450,-9.99028
451,-9.3707
452,-8.75099
453,-8.13114
454,-7.51118
455,-6.89109
456,-6.2709
457,-5.65061
458,-5.03022
459,-4.40975
460,-3.7892
461,-3.16858
462,-2.5479
463,-1.92717
464,-3.70227
465,-5.47748
466,-7.25282
467,-9.02831
468,-10.804
469,-12.5798
470,-14.3559
471,-16.1321
472,-17.9086
473,-19.6853
474,-21.4622
475,-23.2393
476,-25.0167
477,-26.7943
478,-28.5721
479,-30.3501
480,-32.1284
481,-33.9068
482,-35.6855
483,-37.4643
484,-39.2433
485,-40.174
486,-41.1055
487,-42.0378
488,-42.9709
489,-43.9051
490,-44.8402
491,-45.7765
492,-46.7139
493,-47.6526
494,-48.5926
495,-49.5341
496,-50.4769
497,-51.4213
498,-52.3673
499,-53.3149
500,-54.2642
501,-55.2153
502,-56.1681
503,-57.1229
504,-58.0795
505,-59.0381
506,-58.5346
507,-58.0289
508,-57.5211
509,-57.0111
510,-56.4991
511,-55.9849
512,-55.4687
513,-54.9505
514,-54.4302
515,-53.908
516,-53.3839
517,-52.8578
518,-52.3299
519,-51.8002
520,-51.2686
521,-50.7353
522,-50.2003
523,-49.6636
524,-49.1252
525,-48.5852
526,-48.0437
527,-48.0852
528,-48.1275
529,-48.1707
530,-48.2147
531,-48.2596
532,-48.3053
533,-48.3519
534,-48.3993
535,-48.4477
536,-48.4969
537,-48.547
538,-48.598
539,-48.65
540,-48.7028
541,-48.7566
542,-48.8114
543,-48.8671
544,-48.9238
545,-48.9814
546,-49.0401
547,-49.0997
548,-49.0059
549,-48.9115
550,-48.8165
551,-48.7209
552,-48.6247
553,-48.5279
554,-48.4305
555,-48.3325
556,-48.2339
557,-48.1348
558,-48.0351
559,-47.9348
560,-47.8341
561,-47.7327
562,-47.6309
563,-47.5285
564,-47.4256
565,-47.3221
566,-47.2182
567,-47.1138
568,-47.0089
569,-46.9925
570,-46.9778
571,-46.965
572,-46.954
573,-46.9449
574,-46.9375
575,-46.932
576,-46.9284
577,-46.9266
578,-46.9266
579,-46.9285
580,-46.9323
581,-46.9379
582,-46.9453
583,-46.9547
584,-46.9659
585,-46.9791
586,-46.9941
587,-47.011
588,-47.0298
589,-47.0505
590,-47.3054
591,-47.5635
592,-47.8248
593,-48.0891
594,-48.3567
595,-48.6273
596,-48.901
597,-49.1778
598,-49.4577
599,-49.7406
600,-50.0266
601,-50.3156
602,-50.6076
603,-50.9025
604,-51.2005
605,-51.5013
606,-51.8051
607,-52.1118
608,-52.4213
609,-52.7337
610,-53.0489
611,-52.7309
612,-52.4126
613,-52.0939
614,-51.7749
615,-51.4556
616,-51.136
617,-50.8162
618,-50.4961
619,-50.1759
620,-49.8555
621,-49.535
622,-49.2143
623,-48.8935
624,-48.5727
625,-48.2517
626,-47.9308
627,-47.6099
628,-47.2889
629,-46.968
630,-46.6472
631,-46.3265
632,-46.9808
633,-47.6467
634,-48.3243
635,-49.0137
636,-49.7153
637,-50.4291
638,-51.1553
639,-51.894
640,-52.6455
641,-53.4097
642,-54.187
643,-54.9774
644,-55.7809
645,-56.5977
646,-57.4279
647,-58.2715
648,-59.1285
649,-59.9991
650,-60.8831
651,-61.7805
652,-62.6914
653,-61.8551
654,-61.0282
655,-60.2107
656,-59.4021
657,-58.6023
658,-57.8111
659,-57.0281
660,-56.2531
661,-55.486
662,-54.7264
663,-53.9741
664,-53.2288
665,-52.4904
666,-51.7586
667,-51.0332
668,-50.314
669,-49.6006
670,-48.893
671,-48.1908
672,-47.4939
673,-46.8021
674,-44.7648
675,-42.7427
676,-40.7366
677,-38.7467
678,-36.7734
679,-34.8169
680,-32.8774
681,-30.9547
682,-29.049
683,-27.1599
684,-25.2872
685,-23.4305
686,-21.5894
687,-19.7635
688,-17.9521
689,-16.1546
690,-14.3702
691,-12.5983
692,-10.8381
693,-9.08855
694,-7.34891
695,-8.60835
696,-9.86923
697,-11.1314
698,-12.3946
699,-13.6586
700,-14.9233
701,-16.1885
702,-17.4539
703,-18.7193
704,-19.9846
705,-21.2495
706,-22.5139
707,-23.7774
708,-25.04
709,-26.3014
710,-27.5615
711,-28.82
712,-30.0767
713,-31.3316
714,-32.5844
715,-33.8349
716,-33.5707
717,-33.3016
718,-33.0271
719,-32.7471
720,-32.461
721,-32.1687
722,-31.8697
723,-31.5636
724,-31.2501
725,-30.9286
726,-30.5987
727,-30.26
728,-29.9118
729,-29.5537
730,-29.185
731,-28.8051
732,-28.4133
733,-28.0088
734,-27.5909
735,-27.1588
736,-26.7114
737,-26.5391
738,-26.3702
739,-26.2047
740,-26.0429
741,-25.8848
742,-25.7305
743,-25.5801
744,-25.4337
745,-25.2914
746,-25.1534
747,-25.0197
748,-24.8905
749,-24.7657
750,-24.6456
751,-24.5302
752,-24.4196
753,-24.3139
754,-24.2132
755,-24.1176
756,-24.0272
757,-23.942
758,-23.5318
759,-23.1233
760,-22.7163
761,-22.3108
762,-21.9068
763,-21.5042
764,-21.103
765,-20.7032
766,-20.3046
767,-19.9074
768,-19.5114
769,-19.1166
770,-18.723
771,-18.3305
772,-17.9392
773,-17.5488
774,-17.1595
775,-16.7713
776,-16.3839
777,-15.9975
778,-15.612
779,-15.4077
780,-15.2076
781,-15.0115
782,-14.8192
783,-14.6306
784,-14.4454
785,-14.2635
786,-14.0848
787,-13.909
788,-13.7362
789,-13.566
790,-13.3985
791,-13.2334
792,-13.0707
793,-12.9103
794,-12.7519
795,-12.5956
796,-12.4412
797,-12.2886
